name,sku,category,price,cost
Gaming Mouse,SKU-100,Electronics,376,235.71
Mechanical Keyboard,SKU-101,Electronics,456,312.2
Laptop Stand,SKU-102,Electronics,51,35.12
Monitor,SKU-103,Electronics,280,201.89
Webcam,SKU-104,Electronics,94,63.48
Bluetooth Speaker,SKU-105,Electronics,495,212.12
Wireless Headphones,SKU-106,Electronics,153,79.99
USB Hub,SKU-107,Electronics,429,214.35
Office Chair,SKU-108,Furniture,107,81.2
Standing Desk,SKU-109,Furniture,316,248.25
Bookshelf,SKU-110,Furniture,339,259.54
Drawer Cabinet,SKU-111,Furniture,465,204.07
Conference Table,SKU-112,Furniture,18,10.27
Desk Lamp,SKU-113,Furniture,31,17.13
USB-C Cable,SKU-114,Accessories,450,218.77
Phone Case,SKU-115,Accessories,160,113.8
Mouse Pad,SKU-116,Accessories,191,136.55
Laptop Sleeve,SKU-117,Accessories,310,164.9
Power Bank,SKU-118,Accessories,443,223.11
HDMI Adapter,SKU-119,Accessories,333,238.74
Studio Microphone,SKU-120,Audio,234,119.19
Earbuds,SKU-121,Audio,145,69.06
Sound Bar,SKU-122,Audio,309,182.89
DJ Headphones,SKU-123,Audio,473,372.78
WiFi Router,SKU-124,Networking,212,95.12
Ethernet Cable,SKU-125,Networking,337,239.72
Network Switch,SKU-126,Networking,329,201.74
Access Point,SKU-127,Networking,388,270.52
Product 1,SKU-128,Audio,422,347.71
Product 2,SKU-129,Electronics,561,463.64
Product 3,SKU-130,Audio,377,190.75
Product 4,SKU-131,Audio,221,149.42
Product 5,SKU-132,Audio,503,416.8
Product 6,SKU-133,Furniture,241,125.86
Product 7,SKU-134,Audio,169,134.25
Product 8,SKU-135,Accessories,253,207.91
Product 9,SKU-136,Accessories,385,242.24
Product 10,SKU-137,Electronics,92,72.21
Product 11,SKU-138,Furniture,690,475.37
Product 12,SKU-139,Audio,470,355.89
Product 13,SKU-140,Electronics,540,376.59
Product 14,SKU-141,Furniture,386,196.56
Product 15,SKU-142,Furniture,605,338.68
Product 16,SKU-143,Electronics,429,282.61
Product 17,SKU-144,Audio,668,312.94
Product 18,SKU-145,Electronics,669,458.64
Product 19,SKU-146,Electronics,563,450.58
Product 20,SKU-147,Electronics,274,126.83
Product 21,SKU-148,Audio,367,243.0
Product 22,SKU-149,Accessories,361,225.9
Product 23,SKU-150,Furniture,194,136.86
Product 24,SKU-151,Accessories,208,126.09
Product 25,SKU-152,Electronics,616,375.09
Product 26,SKU-153,Networking,429,354.11
Product 27,SKU-154,Furniture,187,157.45
Product 28,SKU-155,Furniture,293,205.88
Product 29,SKU-156,Electronics,97,61.37
Product 30,SKU-157,Networking,384,191.67
Product 31,SKU-158,Electronics,557,429.52
Product 32,SKU-159,Electronics,372,217.39
Product 33,SKU-160,Audio,522,296.67
Product 34,SKU-161,Accessories,263,127.38
Product 35,SKU-162,Furniture,635,347.83
Product 36,SKU-163,Accessories,318,219.03
Product 37,SKU-164,Furniture,260,159.37
Product 38,SKU-165,Networking,313,235.07
Product 39,SKU-166,Furniture,337,203.71
Product 40,SKU-167,Networking,170,111.07
